PROMOTOR-GESTOR;TIPUS VELOCITAT;LATITUD;LONGITUD;PROVINCIA;MUNICIPI;NPLACES ESTACIO
Ajuntament de Rub;RAPID i semiRAPID;41,48569;2,03037;Barcelona;Rub;5
Institut Catal d'Energia i Ajuntament d'Olot;RAPID;42,18898;2,49879;Girona;Olot;2
Institut Catal d'Energia i GESTVIA Calella;semiRAPID i NORMAL;41,61658;2,66029;Barcelona;Calella;2
GAICU;RAPID;41,414478;2,172243;Barcelona;Barcelona;1
Desconegut;semiRAPID i NORMAL;40,78493;0,52571;Tarragona;Tortosa;1
TESLA;semiRAPID;41,41069;2,13629;Barcelona;Barcelona;1
Institut Catal d'Energia i Ajuntament de Girona;RAPID;41,99248;2,81913;Girona;Girona;2
GAICU;semiRAPID;41,375233;2,151765;Barcelona;Barcelona;2
Desconegut;semiRAPID;41,44083;2,19849;Barcelona;Barcelona;4
Desconegut;semiRAPID;41,74441;1,8054;Barcelona;Sant Joan de Vilatorrada;2
Desconegut;;41,01008;0,93888;Tarragona;Mont-Roig del Camp;1
Ajuntament de Girona;NORMAL;41,98145668;2,823227495;Girona;Girona;1
Abertis-saba;NORMAL;41,340072;2,125827;Barcelona;Barcelona;2
Institut Catal d'Energia i Ajuntament de Matar;semiRAPID;41,53969;2,42597;Barcelona;Matar;4
Institut Catal d'Energia i Ajuntament de Lleida;RAPID;41,60766;0,62231;Lleida;Lleida;2
IBIL;RAPID;42,025269;2,865046;Girona;Celr;1
Vincipark;NORMAL;41,382694;2,139639;Barcelona;Barcelona;3
REGESA;NORMAL;41,306022;2,005376;Barcelona;Gav;2
Desconegut;semiRAPID;41,28755;1,25847;Tarragona;Valls;2
BIMSA;NORMAL;41,394501;2,152312;Barcelona;Barcelona;2
B:SM Serveis Municipals;NORMAL;41,426239;2,143323;Barcelona;Barcelona;2
Endesa;NORMAL;41,393948;2,156007;Barcelona;Barcelona;2
Desconegut;semiRAPID i NORMAL;41,14367;1,12927;Tarragona;Reus;1
TESLA;semiRAPID;42,13143;3,12174;Girona;Empuries;2
GAICU;RAPID;41,40646;2,15223;Barcelona;Barcelona;1
Ajuntament Montorns;NORMAL;41,545427;2,266663;Barcelona;Montorns del Valls;2
HOTEL MELIˠSITGES;NORMAL;41,23712;1,82353;Barcelona;Sitges;4
AMERSAM;NORMAL;41,155844;1,101972;Tarragona;Reus;4
MEROIL;NORMAL;41,448;2,1883;Barcelona;Barcelona;1
ESSER;RAPID;41,62414;2,675;Barcelona;Pineda de Mar;2
B:SM Serveis Municipals;NORMAL;41,459612;2,175628;Barcelona;Barcelona;3
B:SM Serveis Municipals;NORMAL;41,405746;2,162722;Barcelona;Barcelona;4
AEB;NORMAL;41,381355;2,129424;Barcelona;Barcelona;2
Desconegut;NORMAL;41,78188;1,83677;Barcelona;Santpedor;1
Hotel MEDITERREAN LODGE L'Ampolla Resort;NORMAL;40,8212;0,6887;Tarragona;L'Ampolla;1
Desconegut;semiRAPID i NORMAL;41,5067;2,14816;Barcelona;Ripollet;2
Parking Galvany;NORMAL;41,39697498;2,143153064;Barcelona;Barcelona;2
Endesa;NORMAL;41,397507;2,119605;Barcelona;Barcelona;2
Institut Catal d'Energia i Ajuntament de Roses;semiRAPID i NORMAL;42,26344;3,1787;Girona;Roses;2
EMPARK;NORMAL;41,118491;1,246252;Tarragona;Tarragona;1
Ajuntament de Rub;semiRAPID;41,501781;2,029948;Barcelona;Rub;7
Camping Les Medes;semiRAPID i NORMAL;42,04324;3,18497;Girona;L'Estartit;2
B:SM Serveis Municipals;NORMAL;41,407211;2,151497;Barcelona;Barcelona;3
Aparcament Els Costals;NORMAL;41,4741;1,98295;Barcelona;Castellbisbal;1
Ajuntament de Terrassa;NORMAL;41,56074;2,0064;Barcelona;Terrassa;3
Desconegut;semiRAPID;41,23965;1,8019;Barcelona;Sitges;2
GAICU;RAPID;41,401313;2,122488;Barcelona;Barcelona;1
Gintra-Ap.Plaa Granollers;NORMAL;41,5408441;2,43629352;Barcelona;Matar;1
B:SM Serveis Municipals;NORMAL;41,37532;2,169709;Barcelona;Barcelona;1
Aparcament MERCOLLEIDA;NORMAL;41,6192746;0,6368894;Lleida;Lleida;1
TESLA;semiRAPID;41,388;2,17318;Barcelona;Barcelona;1
Ajuntament de Matar;semiRAPID;41,53882;2,44245;Barcelona;Matar;2
AEB;NORMAL;41,406525;2,152333;Barcelona;Barcelona;2
Desconegut;semiRAPID i NORMAL;41,25937;1,77389;Barcelona;Sant Pere de Ribes;2
